"","GEO.NAME","ALT.GEO.CODE","NOC","TOT","digital","high.tech","pct"
"1","St. John's","10001","Aerospace engineers",10,0,1,0.150602409638554
"2","St. John's","10001","Cable television service and
maintenance technicians",10,0,1,0.150602409638554
"3","St. John's","10001","Metallurgical and materials
engineers",15,0,1,0.225903614457831
"4","St. John's","10001","Industrial designers",20,0,1,0.301204819277108
"5","St. John's","10001","Information systems testing
technicians",20,1,0,0.301204819277108
"6","St. John's","10001","Physicists and astronomers",25,0,1,0.376506024096386
"7","St. John's","10001","Mining engineers",30,0,1,0.451807228915663
"8","St. John's","10001","Broadcast technicians",30,1,0,0.451807228915663
"9","St. John's","10001","Audio and video recording
technicians",45,0,1,0.677710843373494
"10","St. John's","10001","Geological engineers",60,0,1,0.903614457831325
"11","St. John's","10001","Chemical engineers",75,0,1,1.12951807228916
"12","St. John's","10001","Web designers and developers",80,1,0,1.20481927710843
"13","St. John's","10001","Telecommunications line and cable
workers",90,1,0,1.35542168674699
"14","St. John's","10001","Mathematicians, statisticians and
actuaries",95,1,0,1.43072289156627
"15","St. John's","10001","Telecommunication carriers managers",100,1,0,1.50602409638554
"16","St. John's","10001","Technical occupations in geomatics
and meteorology",100,0,1,1.50602409638554
"17","St. John's","10001","Computer engineers (except software
engineers and designers)",115,1,0,1.73192771084337
"18","St. John's","10001","Database analysts and data
administrators",120,1,0,1.80722891566265
"19","St. John's","10001","Telecommunications installation and
repair workers",150,1,0,2.25903614457831
"20","St. John's","10001","Software engineers and designers",190,1,0,2.86144578313253
"21","St. John's","10001","Other professional engineers,
n.e.c.",195,0,1,2.93674698795181
"22","St. John's","10001","Engineering managers",220,0,1,3.31325301204819
"23","St. John's","10001","User support technicians",280,1,0,4.21686746987952
"24","St. John's","10001","Computer and information systems
managers",310,1,0,4.66867469879518
"25","St. John's","10001","Petroleum engineers",370,0,1,5.57228915662651
"26","St. John's","10001","Electrical and electronics
engineers",400,1,0,6.02409638554217
"27","St. John's","10001","Electrical and electronics
engineering technologists and
technicians",475,0,1,7.15361445783132
"28","St. John's","10001","Computer programmers and
interactive media developers",490,1,0,7.37951807228916
"29","St. John's","10001","Mechanical engineers",520,0,1,7.83132530120482
"30","St. John's","10001","Computer network technicians",550,1,0,8.28313253012048
"31","St. John's","10001","Civil engineers",660,0,1,9.93975903614458
"32","St. John's","10001","Information systems analysts and
consultants",790,1,0,11.8975903614458
"33","Bay Roberts","10005","Computer and information systems
managers",10,1,0,10
"34","Bay Roberts","10005","Civil engineers",10,0,1,10
"35","Bay Roberts","10005","Mechanical engineers",10,0,1,10
"36","Bay Roberts","10005","Electrical and electronics
engineers",10,1,0,10
"37","Bay Roberts","10005","Chemical engineers",10,0,1,10
"38","Bay Roberts","10005","Petroleum engineers",10,0,1,10
"39","Bay Roberts","10005","Computer programmers and
interactive media developers",10,1,0,10
"40","Bay Roberts","10005","Electrical and electronics
engineering technologists and
technicians",10,0,1,10
"41","Bay Roberts","10005","User support technicians",10,1,0,10
"42","Bay Roberts","10005","Telecommunications installation and
repair workers",10,1,0,10
"43","Grand Falls-Windsor","10010","Electrical and electronics
engineers",10,1,0,8
"44","Grand Falls-Windsor","10010","Technical occupations in geomatics
and meteorology",10,0,1,8
"45","Grand Falls-Windsor","10010","Computer network technicians",10,1,0,8
"46","Grand Falls-Windsor","10010","User support technicians",10,1,0,8
"47","Grand Falls-Windsor","10010","Telecommunications line and cable
workers",10,1,0,8
"48","Grand Falls-Windsor","10010","Information systems analysts and
consultants",15,1,0,12
"49","Grand Falls-Windsor","10010","Computer programmers and
interactive media developers",15,1,0,12
"50","Grand Falls-Windsor","10010","Electrical and electronics
engineering technologists and
technicians",20,0,1,16
"51","Grand Falls-Windsor","10010","Civil engineers",25,0,1,20
"52","Gander","10011","Civil engineers",10,0,1,9.09090909090909
"53","Gander","10011","Mechanical engineers",10,0,1,9.09090909090909
"54","Gander","10011","Information systems analysts and
consultants",10,1,0,9.09090909090909
"55","Gander","10011","Database analysts and data
administrators",10,1,0,9.09090909090909
"56","Gander","10011","User support technicians",10,1,0,9.09090909090909
"57","Gander","10011","Information systems testing
technicians",10,1,0,9.09090909090909
"58","Gander","10011","Telecommunications installation and
repair workers",10,1,0,9.09090909090909
"59","Gander","10011","Electrical and electronics
engineering technologists and
technicians",20,0,1,18.1818181818182
"60","Gander","10011","Computer network technicians",20,1,0,18.1818181818182
"61","Corner Brook","10015","Telecommunication carriers managers",10,1,0,2.7027027027027
"62","Corner Brook","10015","Computer engineers (except software
engineers and designers)",10,1,0,2.7027027027027
"63","Corner Brook","10015","Computer programmers and
interactive media developers",10,1,0,2.7027027027027
"64","Corner Brook","10015","Web designers and developers",10,1,0,2.7027027027027
"65","Corner Brook","10015","Technical occupations in geomatics
and meteorology",10,0,1,2.7027027027027
"66","Corner Brook","10015","User support technicians",10,1,0,2.7027027027027
"67","Corner Brook","10015","Broadcast technicians",10,1,0,2.7027027027027
"68","Corner Brook","10015","Cable television service and
maintenance technicians",10,0,1,2.7027027027027
"69","Corner Brook","10015","Mechanical engineers",15,0,1,4.05405405405405
"70","Corner Brook","10015","Electrical and electronics
engineers",15,1,0,4.05405405405405
"71","Corner Brook","10015","Petroleum engineers",15,0,1,4.05405405405405
"72","Corner Brook","10015","Other professional engineers,
n.e.c.",15,0,1,4.05405405405405
"73","Corner Brook","10015","Telecommunications line and cable
workers",15,1,0,4.05405405405405
"74","Corner Brook","10015","Telecommunications installation and
repair workers",15,1,0,4.05405405405405
"75","Corner Brook","10015","Electrical and electronics
engineering technologists and
technicians",25,0,1,6.75675675675676
"76","Corner Brook","10015","Computer and information systems
managers",35,1,0,9.45945945945946
"77","Corner Brook","10015","Information systems analysts and
consultants",40,1,0,10.8108108108108
"78","Corner Brook","10015","Civil engineers",50,0,1,13.5135135135135
"79","Corner Brook","10015","Computer network technicians",50,1,0,13.5135135135135
"80","Charlottetown","11105","Metallurgical and materials
engineers",10,0,1,0.593471810089021
"81","Charlottetown","11105","Aerospace engineers",10,0,1,0.593471810089021
"82","Charlottetown","11105","Information systems testing
technicians",10,1,0,0.593471810089021
"83","Charlottetown","11105","Broadcast technicians",10,1,0,0.593471810089021
"84","Charlottetown","11105","Telecommunications line and cable
workers",10,1,0,0.593471810089021
"85","Charlottetown","11105","Audio and video recording
technicians",15,0,1,0.890207715133531
"86","Charlottetown","11105","Engineering managers",20,0,1,1.18694362017804
"87","Charlottetown","11105","Chemical engineers",20,0,1,1.18694362017804
"88","Charlottetown","11105","Technical occupations in geomatics
and meteorology",20,0,1,1.18694362017804
"89","Charlottetown","11105","Mathematicians, statisticians and
actuaries",25,1,0,1.48367952522255
"90","Charlottetown","11105","Electrical and electronics
engineers",30,1,0,1.78041543026706
"91","Charlottetown","11105","Computer engineers (except software
engineers and designers)",30,1,0,1.78041543026706
"92","Charlottetown","11105","Database analysts and data
administrators",40,1,0,2.37388724035608
"93","Charlottetown","11105","Web designers and developers",50,1,0,2.9673590504451
"94","Charlottetown","11105","Electrical and electronics
engineering technologists and
technicians",50,0,1,2.9673590504451
"95","Charlottetown","11105","Telecommunications installation and
repair workers",50,1,0,2.9673590504451
"96","Charlottetown","11105","Mechanical engineers",60,0,1,3.56083086053412
"97","Charlottetown","11105","Software engineers and designers",70,1,0,4.15430267062315
"98","Charlottetown","11105","Civil engineers",85,0,1,5.04451038575668
"99","Charlottetown","11105","Computer and information systems
managers",115,1,0,6.82492581602374
"100","Charlottetown","11105","User support technicians",175,1,0,10.3857566765579
"101","Charlottetown","11105","Computer network technicians",210,1,0,12.4629080118694
"102","Charlottetown","11105","Computer programmers and
interactive media developers",270,1,0,16.0237388724036
"103","Charlottetown","11105","Information systems analysts and
consultants",300,1,0,17.8041543026706
"104","Summerside","11110","Engineering managers",10,0,1,4.34782608695652
"105","Summerside","11110","Mechanical engineers",10,0,1,4.34782608695652
"106","Summerside","11110","Web designers and developers",10,1,0,4.34782608695652
"107","Summerside","11110","Telecommunications line and cable
workers",10,1,0,4.34782608695652
"108","Summerside","11110","Electrical and electronics
engineering technologists and
technicians",15,0,1,6.52173913043478
"109","Summerside","11110","Telecommunications installation and
repair workers",20,1,0,8.69565217391304
"110","Summerside","11110","Computer and information systems
managers",25,1,0,10.8695652173913
"111","Summerside","11110","Computer network technicians",25,1,0,10.8695652173913
"112","Summerside","11110","User support technicians",30,1,0,13.0434782608696
"113","Summerside","11110","Information systems analysts and
consultants",35,1,0,15.2173913043478
"114","Summerside","11110","Computer programmers and
interactive media developers",40,1,0,17.3913043478261
"115","Halifax","12205","Geological engineers",30,0,1,0.227617602427921
"116","Halifax","12205","Physicists and astronomers",35,0,1,0.265553869499241
